"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"1","good afternoon, welcome, another episode, Vietnam Innovators Podcast, guys","Chào buổi chiều các bạn. Chào mừng đến với một tập khác của Vietnam Innovators Podcast. (Ghép từ hai câu ngắn liền kề.)","Good afternoon, guys. Welcome to another episode of the **Vietnam Innovators Podcast**.","Good___afternoon,___guys.___Welcome___to___another___episode___of___the___**Vietnam___Innovators___Podcast**.","/ɡʊd ˌæftərˈnun ɡaɪz ˈwɛlkəm tə əˈnʌðər ˈɛpɪsoʊd əv ðə ˌviɛtˈnɑm ˈɪnəveɪtərz ˈpɑdkæst/","ɡʊd___ˌæftərˈnun___ɡaɪz___ˈwɛlkəm___tə___əˈnʌðər___ˈɛpɪsoʊd___əv___ðə___ˌviɛtˈnɑm___ˈɪnəveɪtərz___ˈpɑdkæst"
"2","I'm your host, tuning in, every single episode, supporting, the program","Tôi là người dẫn chương trình của các bạn, Hal. Cảm ơn các bạn đã theo dõi mọi tập và ủng hộ chương trình. (Ghép từ hai câu ngắn liền kề.)","I'm your host, Hal. Thank you for **tuning in** every single episode and **supporting** the program.","I'm___your___host,___Hal.___Thank___you___for___**tuning___in**___every___single___episode___and___**supporting**___the___program.","/aɪm jʊr hoʊst hæl θæŋk ju fɔr ˈtunɪŋ ɪn ˈɛvri ˈsɪŋɡəl ˈɛpɪsoʊd ænd səˈpɔrtɪŋ ðə ˈproʊɡræm/","aɪm___jʊr___hoʊst___hæl___θæŋk___ju___fɔr___ˈtunɪŋ___ɪn___ˈɛvri___ˈsɪŋɡəl___ˈɛpɪsoʊd___ænd___səˈpɔrtɪŋ___ðə___ˈproʊɡræm"
"3","without you guys, would not be possible","Nếu không có các bạn, điều này sẽ không thể xảy ra.","Without you guys, this **would not be possible**.","Without___you___guys,___this___**would___not___be___possible**.","/wɪðˈaʊt ju ɡaɪz ðɪs wʊd nɑt bi ˈpɑsəbəl/","wɪðˈaʊt___ju___ɡaɪz___ðɪs___wʊd___nɑt___bi___ˈpɑsəbəl"
"4","continue toward, 500th episode, introduce, guests, industries, insights","Và khi chúng ta tiến tới tập thứ 500 của chương trình này, chúng tôi rất vui được giới thiệu nhiều loại khách mời, ngành nghề và những góc nhìn sâu sắc hơn từ khắp Việt Nam và thế giới về những gì đang diễn ra ở đây, trên thực địa.","And as we continue toward our **500th episode** of this program, we're pleased to introduce more different types of guests, industries, and **insights** from all across Vietnam and the world about what's going on here **on the ground**.","And___as___we___continue___toward___our___**500th___episode**___of___this___program,___we're___pleased___to___introduce___more___different___types___of___guests,___industries,___and___**insights**___from___all___across___Vietnam___and___the___world___about___what's___going___on___here___**on___the___ground**.","/ænd əz wi kənˈtɪnju tɔrd aʊr ˈfaɪvˌhʌndrədθ ˈɛpɪsoʊd əv ðɪs ˈproʊɡræm wɪr plizd tə ˌɪntrəˈdus mɔr ˈdɪfərənt taɪps əv ɡɛsts ˈɪndəstriz ænd ˈɪnsaɪts frʌm ɔl əˈkrɔs ˌviɛtˈnɑm ænd ðə wɜrld əˈbaʊt wʌts ˈɡoʊɪŋ ɑn hɪr ɑn ðə ɡraʊnd/","ænd___əz___wi___kənˈtɪnju___tɔrd___aʊr___ˈfaɪvˌhʌndrədθ___ˈɛpɪsoʊd___əv___ðɪs___ˈproʊɡræm___wɪr___plizd___tə___ˌɪntrəˈdus___mɔr___ˈdɪfərənt___taɪps___əv___ɡɛsts___ˈɪndəstriz___ænd___ˈɪnsaɪts___frʌm___ɔl___əˈkrɔs___ˌviɛtˈnɑm___ænd___ðə___wɜrld___əˈbaʊt___wʌts___ˈɡoʊɪŋ___ɑn___hɪr___ɑn___ðə___ɡraʊnd"
"5","we've heard, brought, latest guest, share, insights today","Và chúng tôi đã nghe các bạn, và chúng tôi đã mời vị khách mới nhất lên chương trình để chia sẻ một số góc nhìn đó hôm nay.","And we've heard you guys, and we've brought our **latest guest** on the program to **share** some of those insights today.","And___we've___heard___you___guys,___and___we've___brought___our___**latest___guest**___on___the___program___to___**share**___some___of___those___insights___today.","/ænd wiv hɜrd ju ɡaɪz ænd wiv brɔt aʊr ˈleɪtəst ɡɛst ɑn ðə ˈproʊɡræm tə ʃɛr sʌm əv ðoʊz ˈɪnsaɪts təˈdeɪ/","ænd___wiv___hɜrd___ju___ɡaɪz___ænd___wiv___brɔt___aʊr___ˈleɪtəst___ɡɛst___ɑn___ðə___ˈproʊɡræm___tə___ʃɛr___sʌm___əv___ðoʊz___ˈɪnsaɪts___təˈdeɪ"
"6","Jens Lner, CEO, largest private bank, in Vietnam, leaderboard","Jens Lner. Anh ấy là CEO của Techcombank, ngân hàng tư nhân lớn nhất tại Việt Nam, và tôi nghĩ cũng khá dẫn đầu về vị trí xếp hạng nói chung. (Ghép từ hai câu ngắn liền kề.)","Jens Lner. He's the CEO of Techcombank, the **largest private bank** in Vietnam and I think also quite up there on in terms of **leaderboard** overall.","Jens___Lner.___He's___the___CEO___of___Techcombank,___the___**largest___private___bank**___in___Vietnam___and___I___think___also___quite___up___there___on___in___terms___of___**leaderboard**___overall.","/jɛnz ˈlɛnər hiz ðə ˌsiˌiˈoʊ əv ˈtɛkkɑmbæŋk ðə ˈlɑrdʒəst ˈpraɪvət bæŋk ɪn ˌviɛtˈnɑm ænd aɪ θɪŋk ˈɔlsoʊ kwaɪt ʌp ðɛr ɑn ɪn tɜrmz əv ˈlidərbɔrd ˌoʊvərˈɔl/","jɛnz___ˈlɛnər___hiz___ðə___ˌsiˌiˈoʊ___əv___ˈtɛkkɑmbæŋk___ðə___ˈlɑrdʒəst___ˈpraɪvət___bæŋk___ɪn___ˌviɛtˈnɑm___ænd___aɪ___θɪŋk___ˈɔlsoʊ___kwaɪt___ʌp___ðɛr___ɑn___ɪn___tɜrmz___əv___ˈlidərbɔrd___ˌoʊvərˈɔl"
"7","a lot to share, co-host Michael Kolari, might recognize, chief economist, Vic Capital","Ừm, có rất nhiều điều để chia sẻ hôm nay, cùng với ngân hàng, và tất nhiên là đồng dẫn chương trình của tôi, Michael Kolari, người mà các bạn có thể nhận ra từ vài chương trình gần đây, kinh tế trưởng của Vic Capital.","Um, a lot to share today uh with the bank and of course my **co-host** Michael Kolari who you guys might recognize from the last few programs as well, **chief economist** of Vic Capital.","Um,___a___lot___to___share___today___uh___with___the___bank___and___of___course___my___**co-host**___Michael___Kolari___who___you___guys___might___recognize___from___the___last___few___programs___as___well,___**chief___economist**___of___Vic___Capital.","/ʌm ə lɑt tə ʃɛr təˈdeɪ ʌ wɪð ðə bæŋk ænd əv kɔrs maɪ ˈkoʊhoʊst ˈmaɪkəl koʊˈlɑri hu ju ɡaɪz maɪt ˈrɛkəɡnaɪz frʌm ðə læst fju ˈproʊɡræmz əz wɛl tʃif ɪˈkɑnəmɪst əv vɪk ˈkæpɪtəl/","ʌm___ə___lɑt___tə___ʃɛr___təˈdeɪ___ʌ___wɪð___ðə___bæŋk___ænd___əv___kɔrs___maɪ___ˈkoʊhoʊst___ˈmaɪkəl___koʊˈlɑri___hu___ju___ɡaɪz___maɪt___ˈrɛkəɡnaɪz___frʌm___ðə___læst___fju___ˈproʊɡræmz___əz___wɛl___tʃif___ɪˈkɑnəmɪst___əv___vɪk___ˈkæpɪtəl"
"8","thank you, making time","À, Jens, cảm ơn anh rất nhiều vì đã dành thời gian hôm nay.","Uh, Jens, thank you so much for **making time** today.","Uh,___Jens,___thank___you___so___much___for___**making___time**___today.","/ʌ jɛnz θæŋk ju soʊ mʌtʃ fɔr ˈmeɪkɪŋ taɪm təˈdeɪ/","ʌ___jɛnz___θæŋk___ju___soʊ___mʌtʃ___fɔr___ˈmeɪkɪŋ___taɪm___təˈdeɪ"
"9","you guys, huge business, run, couple hours, time today, valuable","Ừm, các bạn có một công việc kinh doanh khổng lồ để vận hành, và chỉ vài giờ thời gian của các bạn hôm nay cũng rất quý giá.","Um, you guys have a **huge business** to run and just having a couple hours of your time today is **very valuable**.","Um,___you___guys___have___a___**huge___business**___to___run___and___just___having___a___couple___hours___of___your___time___today___is___**very___valuable**.","/ʌm ju ɡaɪz hæv ə hjudʒ ˈbɪznəs tə rʌn ænd dʒʌst ˈhævɪŋ ə ˈkʌpəl aʊrz əv jʊr taɪm təˈdeɪ ɪz ˈvɛri ˈvæljuəbəl/","ʌm___ju___ɡaɪz___hæv___ə___hjudʒ___ˈbɪznəs___tə___rʌn___ænd___dʒʌst___ˈhævɪŋ___ə___ˈkʌpəl___aʊrz___əv___jʊr___taɪm___təˈdeɪ___ɪz___ˈvɛri___ˈvæljuəbəl"
"10","start with, big thanks","Vậy nên, tôi chỉ muốn bắt đầu bằng một lời cảm ơn lớn.","So, just want to start with a **big thanks**.","So,___just___want___to___start___with___a___**big___thanks**.","/soʊ dʒʌst wɑnt tə stɑrt wɪð ə bɪɡ θæŋks/","soʊ___dʒʌst___wɑnt___tə___stɑrt___wɪð___ə___bɪɡ___θæŋks"
