"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"1","in 1898, baking companies, merged, National Baking Company, called Nabisco","Vào năm 1898, một số công ty làm bánh đã sáp nhập để thành lập Công ty Bánh Quốc gia (National Baking Company), còn được gọi là Nabisco.","In 1898, several baking companies **merged** to form the **National Baking Company**, also called Nabisco.","In___1898,___several___baking___companies___**merged**___to___form___the___**National___Baking___Company**,___also___called___Nabisco.","/ɪn eɪˈtiːn.ˈnaɪnti.ˈeɪt ˈsɛvrəl ˈbeɪkɪŋ ˈkʌmpəniz mɜrdʒd tə fɔrm ðə ˈnæʃənəl ˈbeɪkɪŋ ˈkʌmpəni ˈɔlsoʊ kɔld nəˈbɪskoʊ/","ɪn___eɪˈtiːn.ˈnaɪnti.ˈeɪt___ˈsɛvrəl___ˈbeɪkɪŋ___ˈkʌmpəniz___mɜrdʒd___tə___fɔrm___ðə___ˈnæʃənəl___ˈbeɪkɪŋ___ˈkʌmpəni___ˈɔlsoʊ___kɔld___nəˈbɪskoʊ"
"2","birth of, the organization, would eventually, create, Oreo cookie","Đây là sự khởi đầu của tổ chức mà sau này đã tạo ra chiếc bánh Oreo.","This was the **birth** of the organization that would **eventually create** the Oreo cookie.","This___was___the___**birth**___of___the___organization___that___would___**eventually___create**___the___Oreo___cookie.","/ðɪs wʌz ðə bɜrθ əv ðə ˌɔrgənəˈzeɪʃən ðæt wʊd ɪˈvɛntʃuəli kriˈeɪt ðə ˈɔrioʊ ˈkʊki/","ðɪs___wʌz___ðə___bɜrθ___əv___ðə___ˌɔrgənəˈzeɪʃən___ðæt___wʊd___ɪˈvɛntʃuəli___kriˈeɪt___ðə___ˈɔrioʊ___ˈkʊki"
"3","today, produced, factories, 18 countries, all over the world","Ngày nay, bánh Oreo được sản xuất tại các nhà máy ở 18 quốc gia trên khắp thế giới.","Today, Oreo cookies are **produced** at factories in 18 countries **all over the world**.","Today,___Oreo___cookies___are___**produced**___at___factories___in___18___countries___**all___over___the___world**.","/təˈdeɪ ˈɔrioʊ ˈkʊkiz ɑr prəˈdust æt ˈfæktriz ɪn eɪˈtiːn ˈkʌntriz ɔl ˈoʊvɚ ðə wɜrld/","təˈdeɪ___ˈɔrioʊ___ˈkʊkiz___ɑr___prəˈdust___æt___ˈfæktriz___ɪn___eɪˈtiːn___ˈkʌntriz___ɔl___ˈoʊvɚ___ðə___wɜrld"
"4","whopping 40 billion, per year","Các nhà máy này giúp sản xuất một con số khổng lồ lên tới 40 tỷ chiếc bánh mỗi năm.","These factories help produce a **whopping** 40 billion cookies per year.","These___factories___help___produce___a___**whopping**___40___billion___cookies___per___year.","/ðiz ˈfæktriz hɛlp prəˈdus ə ˈwɑpɪŋ ˈfɔrti ˈbɪljən ˈkʊkiz pɚ jɪr/","ðiz___ˈfæktriz___hɛlp___prəˈdus___ə___ˈwɑpɪŋ___ˈfɔrti___ˈbɪljən___ˈkʊkiz___pɚ___jɪr"
"5","how do they do it","Vậy, họ làm điều đó bằng cách nào?","So, how do they do it?","So,___how___do___they___do___it?","/soʊ haʊ du ðeɪ du ɪt/","soʊ___haʊ___du___ðeɪ___du___ɪt"
"6","hand making, isn't an option, sheer amount, impossible, by hand","Đối với bánh Oreo, việc làm bằng tay không phải là một lựa chọn khả thi, vì lượng bánh khổng lồ mà mỗi nhà máy phải sản xuất là điều không thể làm thủ công.","For Oreo cookies, hand making **isn't an option** since the **sheer amount** each factory has to produce is impossible to do by hand.","For___Oreo___cookies,___hand___making___**isn't___an___option**___since___the___**sheer___amount**___each___factory___has___to___produce___is___impossible___to___do___by___hand.","/fɔr ˈɔrioʊ ˈkʊkiz hænd ˈmeɪkɪŋ ˈɪzənt ən ˈɑpʃən sɪns ðə ʃɪr əˈmaʊnt itʃ ˈfæktəri hæz tə prəˈdus ɪz ɪmˈpɑsəbəl tu du baɪ hænd/","fɔr___ˈɔrioʊ___ˈkʊkiz___hænd___ˈmeɪkɪŋ___ˈɪzənt___ən___ˈɑpʃən___sɪns___ðə___ʃɪr___əˈmaʊnt___itʃ___ˈfæktəri___hæz___tə___prəˈdus___ɪz___ɪmˈpɑsəbəl___tu___du___baɪ___hænd"
"7","for this purpose, heavy-duty machinery, equipped, churn out, one billion cookies","Vì mục đích này, nhà máy Oreo được trang bị đầy đủ máy móc hạng nặng, có khả năng sản xuất ra hơn một tỷ chiếc bánh mỗi năm.","For this purpose, the Oreo factory is full of **heavy-duty machinery**, equipped to **churn out** more than one billion cookies each year.","For___this___purpose,___the___Oreo___factory___is___full___of___**heavy-duty___machinery**,___equipped___to___**churn___out**___more___than___one___billion___cookies___each___year.","/fɔr ðɪs ˈpɜrpəs ðə ˈɔrioʊ ˈfæktəri ɪz fʊl əv ˈhɛvi.ˈduti məˈʃinəri ɪˈkwɪpt tə tʃɜrn aʊt mɔr ðæn wʌn ˈbɪljən ˈkʊkiz itʃ jɪr/","fɔr___ðɪs___ˈpɜrpəs___ðə___ˈɔrioʊ___ˈfæktəri___ɪz___fʊl___əv___ˈhɛvi.ˈduti___məˈʃinəri___ɪˈkwɪpt___tə___tʃɜrn___aʊt___mɔr___ðæn___wʌn___ˈbɪljən___ˈkʊkiz___itʃ___jɪr"
"8","main ingredients, essential, leavening agents, baking soda, vanilla cream filling","Những nguyên liệu chính không thể thiếu trong quá trình làm bánh là bột mì, đường, bột ca cao, dầu thực vật, các chất tạo men như baking soda và bột nở, muối, hương liệu, và kem nhân vani.","The main ingredients **essential** to the cookie making process are flour, sugar, cocoa powder, vegetable oil, **leavening agents**, such as baking soda and baking powder, salt, flavorings, and vanilla cream filling.","The___main___ingredients___**essential**___to___the___cookie___making___process___are___flour,___sugar,___cocoa___powder,___vegetable___oil,___**leavening___agents**,___such___as___baking___soda___and___baking___powder,___salt,___flavorings,___and___vanilla___cream___filling.","/ðə meɪn ɪnˈgridiənts ɪˈsɛnʃəl tə ðə ˈkʊki ˈmeɪkɪŋ ˈprɑsɛs ɑr ˈflaʊɚ ˈʃʊgɚ ˈkoʊkoʊ ˈpaʊdɚ ˈvɛdʒtəbəl ɔɪl ˈlɛvənɪŋ ˈeɪdʒənts sʌtʃ æz ˈbeɪkɪŋ ˈsoʊdə ənd ˈbeɪkɪŋ ˈpaʊdɚ sɔlt ˈfleɪvərɪŋz ænd vəˈnɪlə krim ˈfɪlɪŋ/","ðə___meɪn___ɪnˈgridiənts___ɪˈsɛnʃəl___tə___ðə___ˈkʊki___ˈmeɪkɪŋ___ˈprɑsɛs___ɑr___ˈflaʊɚ___ˈʃʊgɚ___ˈkoʊkoʊ___ˈpaʊdɚ___ˈvɛdʒtəbəl___ɔɪl___ˈlɛvənɪŋ___ˈeɪdʒənts___sʌtʃ___æz___ˈbeɪkɪŋ___ˈsoʊdə___ənd___ˈbeɪkɪŋ___ˈpaʊdɚ___sɔlt___ˈfleɪvərɪŋz___ænd___vəˈnɪlə___krim___ˈfɪlɪŋ"
"9","sourced from, different producers, approved by, quality control team, arrive at the factory","Những nguyên liệu này được lấy từ nhiều nhà cung cấp khác nhau và được đội ngũ kiểm soát chất lượng phê duyệt sau khi chúng đến nhà máy.","These are **sourced** from different producers and are approved by a **quality control team** after they arrive at the factory.","These___are___**sourced**___from___different___producers___and___are___approved___by___a___**quality___control___team**___after___they___arrive___at___the___factory.","/ðiz ɑr sɔrst frʌm ˈdɪfrənt prəˈdusɚz ənd ɑr əˈpruvd baɪ ə ˈkwɑləti kənˈtroʊl tim ˈæftɚ ðeɪ əˈraɪv æt ðə ˈfæktəri/","ðiz___ɑr___sɔrst___frʌm___ˈdɪfrənt___prəˈdusɚz___ənd___ɑr___əˈpruvd___baɪ___ə___ˈkwɑləti___kənˈtroʊl___tim___ˈæftɚ___ðeɪ___əˈraɪv___æt___ðə___ˈfæktəri"
"10","next step, preparing the batter","Bước tiếp theo là chuẩn bị hỗn hợp bột bánh.","The next step is preparing the **batter**.","The___next___step___is___preparing___the___**batter**.","/ðə nɛkst stɛp ɪz prɪˈpɛrɪŋ ðə ˈbætɚ/","ðə___nɛkst___stɛp___ɪz___prɪˈpɛrɪŋ___ðə___ˈbætɚ"
