"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"1","name, Jonna Jinton","Tên tôi là Jonna Jinton.","My **name** is Jonna Jinton.","My___**name**___is___Jonna___Jinton.","/maɪ ˈneɪm ɪz ˈdʒɑnə ˈdʒɪntən/","maɪ___ˈneɪm___ɪz___ˈdʒɑnə___ˈdʒɪntən"
"2","Swedish, photographer, artist","Tôi là một nhiếp ảnh gia và nghệ sĩ người Thụy Điển.","I'm a Swedish **photographer** and **artist**.","I'm___a___Swedish___**photographer**___and___**artist**.","/aɪm ə ˈswidɪʃ fəˈtɑɡrəfər ənd ˈɑrtəst/","aɪm___ə___ˈswidɪʃ___fəˈtɑɡrəfər___ənd___ˈɑrtəst"
"3","tell, story, journey","Và tôi sẽ kể cho bạn nghe câu chuyện về hành trình của mình.","And I'm gonna tell you the **story of my journey**.","And___I'm___gonna___tell___you___the___**story___of___my___journey**.","/ənd aɪm ˈɡʌnə tɛl ju ðə ˈstɔri ʌv maɪ ˈdʒɜrni/","ənd___aɪm___ˈɡʌnə___tɛl___ju___ðə___ˈstɔri___ʌv___maɪ___ˈdʒɜrni"
"4","important decision, life","Tôi đã đưa ra quyết định quan trọng nhất trong cuộc đời mình vào năm 2010.","I took the **most important decision of my life** in 2010.","I___took___the___**most___important___decision___of___my___life**___in___2010.","/aɪ tʊk ðə moʊst ɪmˈpɔrtənt dɪˈsɪʒən ʌv maɪ laɪf ɪn ˈtwɛnti.tɛn/","aɪ___tʊk___ðə___moʊst___ɪmˈpɔrtənt___dɪˈsɪʒən___ʌv___maɪ___laɪf___ɪn___ˈtwɛnti.tɛn"
"5","leave, hometown","Tôi quyết định rời bỏ cuộc sống của mình ở quê nhà Gothenburg.","I decided to **leave** my life in my **hometown** Gothenburg.","I___decided___to___**leave**___my___life___in___my___**hometown**___Gothenburg.","/aɪ dɪˈsaɪdəd tə liv maɪ laɪf ɪn maɪ ˈhoʊmˌtaʊn ˈɡɑθənˌbɜrɡ/","aɪ___dɪˈsaɪdəd___tə___liv___maɪ___laɪf___ɪn___maɪ___ˈhoʊmˌtaʊn___ˈɡɑθənˌbɜrɡ"
"6","left, quit, studies","Tôi rời khỏi căn hộ và bỏ dở việc học.","I left the apartment, and **quit the studies**.","I___left___the___apartment,___and___**quit___the___studies**.","/aɪ lɛft ðə əˈpɑrtmənt ənd kwɪt ðə ˈstʌdiz/","aɪ___lɛft___ðə___əˈpɑrtmənt___ənd___kwɪt___ðə___ˈstʌdiz"
"7","longing, nature, silence","Trái tim tôi khao khát một điều gì đó khác: thiên nhiên và sự tĩnh lặng.","My heart was **longing for** something else: nature and silence.","My___heart___was___**longing___for**___something___else:___nature___and___silence.","/maɪ hɑrt wʌz ˈlɔŋɪŋ fɔr ˈsʌmθɪŋ ɛls ˈneɪtʃər ənd ˈsaɪləns/","maɪ___hɑrt___wʌz___ˈlɔŋɪŋ___fɔr___ˈsʌmθɪŋ___ɛls___ˈneɪtʃər___ənd___ˈsaɪləns"
"8","moved, Grundtjärn","Tôi chuyển đến nơi này... Grundtjärn.","I **moved to** this place... Grundtjärn.","I___**moved___to**___this___place...___Grundtjärn.","/aɪ muvd tə ðɪs pleɪs ˈɡrʊntjɛrn/","aɪ___muvd___tə___ðɪs___pleɪs___ˈɡrʊntjɛrn"
"9","village, inhabitants","Một ngôi làng nhỏ với 10 cư dân ở phía bắc Thụy Điển.","A little village with 10 **inhabitants** in the north of Sweden.","A___little___village___with___10___**inhabitants**___in___the___north___of___Sweden.","/ə ˈlɪtəl ˈvɪlɪdʒ wɪð tɛn ɪnˈhæbətənts ɪn ðə nɔrθ ʌv ˈswidən/","ə___ˈlɪtəl___ˈvɪlɪdʒ___wɪð___tɛn___ɪnˈhæbətənts___ɪn___ðə___nɔrθ___ʌv___ˈswidən"
"10","roots, generations","Một ngôi làng nơi tổ tiên tôi đã sinh sống từ 12 thế hệ trước.","A village where I **had my roots** since 12 **generations** back.","A___village___where___I___**had___my___roots**___since___12___**generations**___back.","/ə ˈvɪlɪdʒ wɛr aɪ hæd maɪ ruts sɪns twɛlv ˌdʒɛnəˈreɪʃənz bæk/","ə___ˈvɪlɪdʒ___wɛr___aɪ___hæd___maɪ___ruts___sɪns___twɛlv___ˌdʒɛnəˈreɪʃənz___bæk"
"11","actually, coming home","Vì vậy, thực ra nó giống như trở về nhà.","So actually, it was like **coming home**.","So___actually,___it___was___like___**coming___home**.","/soʊ ˈæktʃuəli ɪt wʌz laɪk ˈkʌmɪŋ hoʊm/","soʊ___ˈæktʃuəli___ɪt___wʌz___laɪk___ˈkʌmɪŋ___hoʊm"
