"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"1","overarching objective, architect, unified, interoperable, shared national data ecosystem","Mục tiêu bao trùm của Chiến lược là kiến tạo một hệ sinh thái dữ liệu quốc gia thống nhất, hiện đại, an toàn, tin cậy, có khả năng liên thông và được chia sẻ.","The Strategy's **overarching objective** is to architect a unified, modern, secure, reliable, **interoperable**, and shared national data ecosystem.","The___Strategy's___**overarching___objective**___is___to___architect___a___unified,___modern,___secure,___reliable,___**interoperable**,___and___shared___national___data___ecosystem.","/ðə ˈstrætədʒiz ˌoʊvɚˈɑrtʃɪŋ əbˈdʒɛktɪv ɪz tə ˈɑrkɪˌtɛkt ə ˈjunəˌfaɪd ˈmɑdɚn sɪˈkjʊr rɪˈlaɪəbəl ˌɪntɚˈɑpɚəbəl ənd ʃɛrd ˈnæʃənəl ˈdeɪtə ˈikoʊˌsɪstəm/","ðə___ˈstrætədʒiz___ˌoʊvɚˈɑrtʃɪŋ___əbˈdʒɛktɪv___ɪz___tə___ˈɑrkɪˌtɛkt___ə___ˈjunəˌfaɪd___ˈmɑdɚn___sɪˈkjʊr___rɪˈlaɪəbəl___ˌɪntɚˈɑpɚəbəl___ənd___ʃɛrd___ˈnæʃənəl___ˈdeɪtə___ˈikoʊˌsɪstəm"
"2","strives, forge data into, strategic resource, vital production input, driving force","Chiến lược nỗ lực biến dữ liệu thành một nguồn lực chiến lược, một đầu vào sản xuất thiết yếu, và một động lực mới cho quản trị quốc gia, kinh tế số và xã hội số.","It **strives** to **forge** data into a strategic resource, a vital production input, and a new driving force for national governance, the digital economy, and digital society.","It___**strives**___to___**forge**___data___into___a___strategic___resource,___a___vital___production___input,___and___a___new___driving___force___for___national___governance,___the___digital___economy,___and___digital___society.","/ɪt straɪvz tə fɔrdʒ ˈdeɪtə ˈɪntu ə strəˈtidʒɪk ˈrisɔrs ə ˈvaɪtəl prəˈdʌkʃən ˈɪnˌpʊt ənd ə nu ˈdraɪvɪŋ fɔrs fɚ ˈnæʃənəl ˈɡʌvɚnəns ðə ˈdɪdʒətəl ɪˈkɑnəmi ənd ˈdɪdʒətəl səˈsaɪəti/","ɪt___straɪvz___tə___fɔrdʒ___ˈdeɪtə___ˈɪntu___ə___strəˈtidʒɪk___ˈrisɔrs___ə___ˈvaɪtəl___prəˈdʌkʃən___ˈɪnˌpʊt___ənd___ə___nu___ˈdraɪvɪŋ___fɔrs___fɚ___ˈnæʃənəl___ˈɡʌvɚnəns___ðə___ˈdɪdʒətəl___ɪˈkɑnəmi___ənd___ˈdɪdʒətəl___səˈsaɪəti"
"3","endeavours, expedite, application, high-performance computing, policy formulation","Chiến lược cũng nỗ lực đẩy nhanh việc ứng dụng trí tuệ nhân tạo, điện toán hiệu năng cao, và các công nghệ số chiến lược trong phân tích, dự báo, xây dựng chính sách, và cung cấp dịch vụ thông minh.","It also **endeavours** to **expedite** the application of artificial intelligence, high‑performance computing, and strategic digital technologies in analysis, forecasting, policy formulation, and the delivery of intelligent services.","It___also___**endeavours**___to___**expedite**___the___application___of___artificial___intelligence,___high‑performance___computing,___and___strategic___digital___technologies___in___analysis,___forecasting,___policy___formulation,___and___the___delivery___of___intelligent___services.","/ɪt ˈɔlsoʊ ɛnˈdɛvɚz tə ˈɛkspəˌdaɪt ðə ˌæpləˈkeɪʃən əv ˌɑrtəˈfɪʃəl ɪnˈtɛlədʒəns haɪ.pɚˈfɔrməns kəmˈpjutɪŋ ənd strəˈtidʒɪk ˈdɪdʒətəl tɛkˈnɑlədʒiz ɪn əˈnæləsɪs ˈfɔrˌkæstɪŋ ˈpɑləsi ˌfɔrmjəˈleɪʃən ənd ðə dɪˈlɪvəri əv ɪnˈtɛlədʒənt ˈsɜrvəsəz/","ɪt___ˈɔlsoʊ___ɛnˈdɛvɚz___tə___ˈɛkspəˌdaɪt___ðə___ˌæpləˈkeɪʃən___əv___ˌɑrtəˈfɪʃəl___ɪnˈtɛlədʒəns___haɪ.pɚˈfɔrməns___kəmˈpjutɪŋ___ənd___strəˈtidʒɪk___ˈdɪdʒətəl___tɛkˈnɑlədʒiz___ɪn___əˈnæləsɪs___ˈfɔrˌkæstɪŋ___ˈpɑləsi___ˌfɔrmjəˈleɪʃən___ənd___ðə___dɪˈlɪvəri___əv___ɪnˈtɛlədʒənt___ˈsɜrvəsəz"
"4","dictates, 50,000 officials, trained and upskilled, Training Framework, capacity to govern","Chiến lược quy định rằng ít nhất 50.000 cán bộ và công chức sẽ được đào tạo và nâng cao trình độ theo Khung Đào tạo Quản trị Dữ liệu Quốc gia, trang bị cho họ năng lực quản trị, phân tích và khai thác dữ liệu.","The Strategy **dictates** that at least 50,000 officials and public servants will be trained and **upskilled** under the National Data Governance Training Framework, equipping them with the capacity to govern, analyse, and exploit data.","The___Strategy___**dictates**___that___at___least___50,000___officials___and___public___servants___will___be___trained___and___**upskilled**___under___the___National___Data___Governance___Training___Framework,___equipping___them___with___the___capacity___to___govern,___analyse,___and___exploit___data.","/ðə ˈstrætədʒi ˈdɪkˌteɪts ðæt æt list ˈfɪfti.ˈθaʊzənd əˈfɪʃəlz ənd ˈpʌblɪk ˈsɜrvənts wɪl bi treɪnd ənd ˈʌpˌskɪld ˈʌndɚ ðə ˈnæʃənəl ˈdeɪtə ˈɡʌvɚnəns ˈtreɪnɪŋ ˈfreɪmˌwɜrk ɪˈkwɪpɪŋ ðɛm wɪð ðə kəˈpæsəti tə ˈɡʌvɚn ˈænəˌlaɪz ənd ɪkˈsplɔɪt ˈdeɪtə/","ðə___ˈstrætədʒi___ˈdɪkˌteɪts___ðæt___æt___list___ˈfɪfti.ˈθaʊzənd___əˈfɪʃəlz___ənd___ˈpʌblɪk___ˈsɜrvənts___wɪl___bi___treɪnd___ənd___ˈʌpˌskɪld___ˈʌndɚ___ðə___ˈnæʃənəl___ˈdeɪtə___ˈɡʌvɚnəns___ˈtreɪnɪŋ___ˈfreɪmˌwɜrk___ɪˈkwɪpɪŋ___ðɛm___wɪð___ðə___kəˈpæsəti___tə___ˈɡʌvɚn___ˈænəˌlaɪz___ənd___ɪkˈsplɔɪt___ˈdeɪtə"
"5","300,000 enterprise workers, receive training, data skills, AI applications","Khoảng 300.000 lao động doanh nghiệp sẽ được đào tạo về kỹ năng dữ liệu, phân tích dữ liệu, và các ứng dụng AI.","Around 300,000 **enterprise workers** will receive training in data skills, data analysis, and AI applications.","Around___300,000___**enterprise___workers**___will___receive___training___in___data___skills,___data___analysis,___and___AI___applications.","/əˈraʊnd ˈθri.ˈhʌndrəd.ˈθaʊzənd ˈɛntɚˌpraɪz ˈwɜrkɚz wɪl rɪˈsiv ˈtreɪnɪŋ ɪn ˈdeɪtə skɪlz ˈdeɪtə əˈnæləsɪs ənd ˌeɪˈaɪ ˌæpləˈkeɪʃənz/","əˈraʊnd___ˈθri.ˈhʌndrəd.ˈθaʊzənd___ˈɛntɚˌpraɪz___ˈwɜrkɚz___wɪl___rɪˈsiv___ˈtreɪnɪŋ___ɪn___ˈdeɪtə___skɪlz___ˈdeɪtə___əˈnæləsɪs___ənd___ˌeɪˈaɪ___ˌæpləˈkeɪʃənz"
"6","core team, 5,000 data specialists, cultivated, state agencies, technological organisations","Một đội ngũ nòng cốt gồm ít nhất 5.000 chuyên gia dữ liệu sẽ được xây dựng tại các cơ quan nhà nước, doanh nghiệp, cơ sở giáo dục, và các tổ chức khoa học và công nghệ.","A **core team** of at least 5,000 data specialists will be **cultivated** across state agencies, businesses, educational institutions, and scientific and technological organisations.","A___**core___team**___of___at___least___5,000___data___specialists___will___be___**cultivated**___across___state___agencies,___businesses,___educational___institutions,___and___scientific___and___technological___organisations.","/ə kɔr tim əv æt list ˈfaɪv.ˈθaʊzənd ˈdeɪtə ˈspɛʃəˌlɪsts wɪl bi ˈkʌltəˌveɪtəd əˈkrɔs steɪt ˈeɪdʒənsiz ˈbɪznəsəz ˌɛdʒəˈkeɪʃənəl ˌɪnstəˈtuʃənz ənd ˌsaɪənˈtɪfɪk ənd ˌtɛknəˈlɑdʒɪkəl ˌɔrɡənəˈzeɪʃənz/","ə___kɔr___tim___əv___æt___list___ˈfaɪv.ˈθaʊzənd___ˈdeɪtə___ˈspɛʃəˌlɪsts___wɪl___bi___ˈkʌltəˌveɪtəd___əˈkrɔs___steɪt___ˈeɪdʒənsiz___ˈbɪznəsəz___ˌɛdʒəˈkeɪʃənəl___ˌɪnstəˈtuʃənz___ənd___ˌsaɪənˈtɪfɪk___ənd___ˌtɛknəˈlɑdʒɪkəl___ˌɔrɡənəˈzeɪʃənz"
"7","more than 50, higher education institutions, offer programmes and majors, data governance, high-performance computing","Ngoài ra, hơn 50 cơ sở giáo dục đại học sẽ mở các chương trình và chuyên ngành về khoa học dữ liệu, quản trị dữ liệu, trí tuệ nhân tạo, điện toán hiệu năng cao, và an ninh dữ liệu.","In addition, more than 50 **higher education institutions** will offer programmes and **majors** in data science, data governance, artificial intelligence, high‑performance computing, and data security.","In___addition,___more___than___50___**higher___education___institutions**___will___offer___programmes___and___**majors**___in___data___science,___data___governance,___artificial___intelligence,___high‑performance___computing,___and___data___security.","/ɪn əˈdɪʃən mɔr ðæn ˈfɪfti ˈhaɪɚ ˌɛdʒəˈkeɪʃən ˌɪnstəˈtuʃənz wɪl ˈɔfɚ ˈproʊˌɡræmz ənd ˈmeɪdʒɚz ɪn ˈdeɪtə ˈsaɪəns ˈdeɪtə ˈɡʌvɚnəns ˌɑrtəˈfɪʃəl ɪnˈtɛlədʒəns haɪ.pɚˈfɔrməns kəmˈpjutɪŋ ənd ˈdeɪtə sɪˈkjʊrəti/","ɪn___əˈdɪʃən___mɔr___ðæn___ˈfɪfti___ˈhaɪɚ___ˌɛdʒəˈkeɪʃən___ˌɪnstəˈtuʃənz___wɪl___ˈɔfɚ___ˈproʊˌɡræmz___ənd___ˈmeɪdʒɚz___ɪn___ˈdeɪtə___ˈsaɪəns___ˈdeɪtə___ˈɡʌvɚnəns___ˌɑrtəˈfɪʃəl___ɪnˈtɛlədʒəns___haɪ.pɚˈfɔrməns___kəmˈpjutɪŋ___ənd___ˈdeɪtə___sɪˈkjʊrəti"
"8","envisions, by 2045, 100%, underpinned by data, formulated and evaluated","Chiến lược đặt mục tiêu đến năm 2045, 100% hoạt động lãnh đạo, chỉ đạo, quản trị và điều hành của các cơ quan Đảng và Nhà nước sẽ được dựa trên nền tảng dữ liệu; ít nhất 90% các quyết định và chính sách lớn sẽ được xây dựng, đánh giá và dự báo bằng phân tích dữ liệu và trí tuệ nhân tạo.","It **envisions** that by 2045, 100% of leadership, direction, governance, and operational activities of Party and State agencies will be **underpinned by data**; at least 90% of major decisions and policies will be formulated, evaluated, and forecast using data analysis and artificial intelligence.","It___**envisions**___that___by___2045,___100%___of___leadership,___direction,___governance,___and___operational___activities___of___Party___and___State___agencies___will___be___**underpinned___by___data**;___at___least___90%___of___major___decisions___and___policies___will___be___formulated,___evaluated,___and___forecast___using___data___analysis___and___artificial___intelligence.","/ɪt ɛnˈvɪʒənz ðæt baɪ ˈtwɛnti.ˈfɔrti.ˈfaɪv wʌn.ˈhʌndrəd.pɚˈsɛnt əv ˈlidɚˌʃɪp dəˈrɛkʃən ˈɡʌvɚnəns ənd ˌɑpəˈreɪʃənəl ækˈtɪvətiz əv ˈpɑrti ənd steɪt ˈeɪdʒənsiz wɪl bi ˌʌndɚˈpɪnd baɪ ˈdeɪtə æt list ˈnaɪnti.pɚˈsɛnt əv ˈmeɪdʒɚ dɪˈsɪʒənz ənd ˈpɑləsiz wɪl bi ˈfɔrmjəˌleɪtəd ɪˈvæljuˌeɪtəd ənd ˈfɔrˌkæst ˈjuzɪŋ ˈdeɪtə əˈnæləsɪs ənd ˌɑrtəˈfɪʃəl ɪnˈtɛlədʒəns/","ɪt___ɛnˈvɪʒənz___ðæt___baɪ___ˈtwɛnti.ˈfɔrti.ˈfaɪv___wʌn.ˈhʌndrəd.pɚˈsɛnt___əv___ˈlidɚˌʃɪp___dəˈrɛkʃən___ˈɡʌvɚnəns___ənd___ˌɑpəˈreɪʃənəl___ækˈtɪvətiz___əv___ˈpɑrti___ənd___steɪt___ˈeɪdʒənsiz___wɪl___bi___ˌʌndɚˈpɪnd___baɪ___ˈdeɪtə___æt___list___ˈnaɪnti.pɚˈsɛnt___əv___ˈmeɪdʒɚ___dɪˈsɪʒənz___ənd___ˈpɑləsiz___wɪl___bi___ˈfɔrmjəˌleɪtəd___ɪˈvæljuˌeɪtəd___ənd___ˈfɔrˌkæst___ˈjuzɪŋ___ˈdeɪtə___əˈnæləsɪs___ənd___ˌɑrtəˈfɪʃəl___ɪnˈtɛlədʒəns"
"9","eligible public services, fully online, proactively, personalised based on data, satisfaction","Tất cả các dịch vụ công đủ điều kiện sẽ được cung cấp hoàn toàn trực tuyến; ít nhất 90% dịch vụ công thiết yếu sẽ được cung cấp một cách chủ động, tự động, hoặc được cá nhân hóa dựa trên dữ liệu; và mức độ hài lòng của người dân và doanh nghiệp sẽ đạt 99% trở lên.","All **eligible** public services will be delivered fully online; at least 90% of essential public services will be provided proactively, automatically, or **personalised based on data**; and citizen and business satisfaction will reach 99% or higher.","All___**eligible**___public___services___will___be___delivered___fully___online;___at___least___90%___of___essential___public___services___will___be___provided___proactively,___automatically,___or___**personalised___based___on___data**;___and___citizen___and___business___satisfaction___will___reach___99%___or___higher.","/ɔl ˈɛlədʒəbəl ˈpʌblɪk ˈsɜrvəsəz wɪl bi dɪˈlɪvɚd ˈfʊli ˌɑnˈlaɪn æt list ˈnaɪnti.pɚˈsɛnt əv ɪˈsɛnʃəl ˈpʌblɪk ˈsɜrvəsəz wɪl bi prəˈvaɪdəd proʊˈæktɪvli ˌɔtəˈmætɪkli ɔr ˈpɜrsənəˌlaɪzd beɪst ɑn ˈdeɪtə ənd ˈsɪtəzən ənd ˈbɪznəs ˌsætəsˈfækʃən wɪl ritʃ ˈnaɪnti.naɪn.pɚˈsɛnt ɔr ˈhaɪɚ/","ɔl___ˈɛlədʒəbəl___ˈpʌblɪk___ˈsɜrvəsəz___wɪl___bi___dɪˈlɪvɚd___ˈfʊli___ˌɑnˈlaɪn___æt___list___ˈnaɪnti.pɚˈsɛnt___əv___ɪˈsɛnʃəl___ˈpʌblɪk___ˈsɜrvəsəz___wɪl___bi___prəˈvaɪdəd___proʊˈæktɪvli___ˌɔtəˈmætɪkli___ɔr___ˈpɜrsənəˌlaɪzd___beɪst___ɑn___ˈdeɪtə___ənd___ˈsɪtəzən___ənd___ˈbɪznəs___ˌsætəsˈfækʃən___wɪl___ritʃ___ˈnaɪnti.naɪn.pɚˈsɛnt___ɔr___ˈhaɪɚ"
"10","master, 80%, core platforms, autonomous capabilities, cloud computing","Việt Nam sẽ làm chủ ít nhất 80% các nền tảng, công nghệ, và sản phẩm cốt lõi phục vụ quản trị, lưu trữ, xử lý, phân tích, và bảo vệ dữ liệu; đồng thời sẽ sở hữu năng lực tự chủ trong điện toán đám mây, hạ tầng điện toán hiệu năng cao, hạ tầng AI, mô hình AI, và an ninh dữ liệu.","Viet Nam will **master** at least 80% of the core platforms, technologies, and products serving data governance, storage, processing, analysis, and protection; and will possess **autonomous capabilities** in cloud computing, high-performance computing infrastructure, AI infrastructure, AI models, and data security.","Viet___Nam___will___**master**___at___least___80%___of___the___core___platforms,___technologies,___and___products___serving___data___governance,___storage,___processing,___analysis,___and___protection;___and___will___possess___**autonomous___capabilities**___in___cloud___computing,___high-performance___computing___infrastructure,___AI___infrastructure,___AI___models,___and___data___security.","/vjɛt nɑm wɪl ˈmæstɚ æt list ˈeɪti.pɚˈsɛnt əv ðə kɔr ˈplætˌfɔrmz tɛkˈnɑlədʒiz ənd ˈprɑdʌkts ˈsɜrvɪŋ ˈdeɪtə ˈɡʌvɚnəns ˈstɔrɪdʒ ˈprɑsɛsɪŋ əˈnæləsɪs ənd prəˈtɛkʃən ənd wɪl pəˈzɛs ɔˈtɑnəməs ˌkeɪpəˈbɪlətiz ɪn klaʊd kəmˈpjutɪŋ haɪ.pɚˈfɔrməns kəmˈpjutɪŋ ˈɪnfrəˌstrʌktʃɚ ˌeɪˈaɪ ˈɪnfrəˌstrʌktʃɚ ˌeɪˈaɪ ˈmɑdəlz ənd ˈdeɪtə sɪˈkjʊrəti/","vjɛt___nɑm___wɪl___ˈmæstɚ___æt___list___ˈeɪti.pɚˈsɛnt___əv___ðə___kɔr___ˈplætˌfɔrmz___tɛkˈnɑlədʒiz___ənd___ˈprɑdʌkts___ˈsɜrvɪŋ___ˈdeɪtə___ˈɡʌvɚnəns___ˈstɔrɪdʒ___ˈprɑsɛsɪŋ___əˈnæləsɪs___ənd___prəˈtɛkʃən___ənd___wɪl___pəˈzɛs___ɔˈtɑnəməs___ˌkeɪpəˈbɪlətiz___ɪn___klaʊd___kəmˈpjutɪŋ___haɪ.pɚˈfɔrməns___kəmˈpjutɪŋ___ˈɪnfrəˌstrʌktʃɚ___ˌeɪˈaɪ___ˈɪnfrəˌstrʌktʃɚ___ˌeɪˈaɪ___ˈmɑdəlz___ənd___ˈdeɪtə___sɪˈkjʊrəti"
